날짜,종가,전일비,시가,고가,저가,거래량
2022-04-19,67300,600,67100,68000,67000,12886202
2022-04-18,66700,100,66500,67100,66100,10119203
2022-04-15,66600,900,67200,67300,66500,13176415
2022-04-14,67500,1200,68700,68700,67500,16409494
2022-04-13,68700,1700,67300,69000,67200,17378619
2022-04-12,67000,900,67600,67700,67000,13924389
2022-04-11,67900,100,67800,68100,67400,12263735
2022-04-08,67800,200,68100,68300,67700,15453191
2022-04-07,68000,500,68500,68500,68000,20683327
2022-04-06,68500,700,68600,68800,68500,15517308
2022-04-05,69200,100,69400,69600,69100,8467248
2022-04-04,69300,200,68900,69300,68600,11107905
2022-04-01,69100,500,69500,69500,69000,15916846
2022-03-31,69600,300,69900,70200,69600,12510366
2022-03-30,69900,300,70300,70500,69800,12670187
2022-03-29,70200,500,70000,70300,69800,13686208
2022-03-28,69700,100,69500,69900,69200,12619289
2022-03-25,69800,0,70100,70200,69600,12986010
2022-03-24,69800,700,69600,70300,69600,37943357
2022-03-23,70500,200,70600,71200,70300,12398025
2022-03-22,70300,400,69900,70500,69900,9402666
2022-03-21,69900,800,70900,71000,69900,11169002
2022-03-18,70700,500,70600,70900,70200,14410038
2022-03-17,71200,800,71200,71800,70900,17646315
2022-03-16,70400,900,70200,70500,69700,10175750
2022-03-15,69500,700,69800,70100,69500,10258562
2022-03-14,70200,200,70000,70200,69600,9040993
2022-03-11,70000,1200,70500,70700,69700,15787655
2022-03-10,71200,1700,70800,71200,70500,21159248
2022-03-08,69500,600,68800,70000,68700,15828269
2022-03-07,70100,1400,70000,70600,69900,18617138
2022-03-04,71500,1400,72700,72700,71200,13409634
2022-03-03,72900,1200,72300,73100,72200,13232638
2022-03-02,71700,400,72300,72400,71500,12481430
2022-02-28,72100,200,71100,72100,71000,17781783
2022-02-25,71900,400,72100,72600,71900,13168484
2022-02-24,71500,1500,72300,72300,71300,15759283
2022-02-23,73000,400,73800,73800,72800,10397964
2022-02-22,73400,800,73000,73400,72800,11692469
2022-02-21,74200,100,73200,74300,72600,10489717
2022-02-18,74300,700,74600,74800,73700,10122226
2022-02-17,75000,200,75000,75600,74500,13605382
2022-02-16,74800,1100,74600,74900,74200,10767386
2022-02-15,73700,0,74100,74200,73100,9320365
2022-02-14,73700,1200,74400,74500,73100,13993255
2022-02-11,74900,500,75000,75500,74600,12205407
2022-02-10,75400,700,75600,75800,74700,17746033
2022-02-09,74700,1200,74300,74700,74000,9699122
2022-02-08,73500,500,73800,74200,73000,11736666
2022-02-07,73000,1000,73500,73600,72400,14240838
2022-02-04,74000,700,74300,74600,73400,12730034
2022-02-03,73300,0,74900,74900,73300,17744721
