제목,리뷰,평점,날짜
매치스틱 맨,니콜라스 케이지 최고의 연기가 아닐까 ,7,22.04.20
비버리 힐스 캅 2,1편은 밋밋했는데 2탄은 좋아진듯 ,6,22.04.20
신비한 동물들과 덤블도어의 비밀,평점 왜 그래 그냥 이 영화는 에디 레드메인 나오는 것만으로 끝났음 ,10,22.04.20
앵커,각종홍보에서  이혜영님을 꽁꽁 감춘이유가 있었네요. ㅋㅋ  감독님의 섬세함이 좋았습니다. 배우분들은 두말할것 없구요.  천만가즈아~~~ ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,기대를 워낙 안해서 그런가 볼만은함 ,6,22.04.20
더 배트맨,캣우먼이랑 오토바이로 앞서나가면서 꽁냥꽁냥하는 장면 왜 집어넣었나 싶다  다크나이트랑 너무 비교되더라 ,2,22.04.20
비버리 힐스 캅,에디머피아니였으면 이영화는 시리즈가시작을안했을듯 ,4,22.04.20
신비한 동물들과 덤블도어의 비밀,그린델왈드는 원래 섹시했다. 저 눈깔이면 진짜.. 킹정.. ,6,22.04.20
더티 해리,투박한게 오히려 장점인영화 ,6,22.04.20
신비한 동물들과 덤블도어의 비밀,그래도 배우들은 멋있음 ,7,22.04.20
약속의 네버랜드,초반에 오글거림만 버티면 이후는 볼만하다. 하나메 미나비 보고 영화 보러갔는데 이자벨라를 연기한 배우에게 눈길이 갔다. 괜찮은 연기력에 12부작인 애니를 112분 영화로 잘 요약했다. 실사영화는 너무 애니를 따라가려다 안 좋게 되는 경우가 많은데 이 정도면 괜찮게 만들었다. 2부 나오면 볼 의향이 있다. ,7,22.04.20
승리호,재미있지만 시간이 짧다. 스페이스 오페라로 발전하길. ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,말할가치가없음 추억이 다 사라졌다 ,1,22.04.20
이상한 나라의 수학자,믿고 볼수있어 안정감이 더함 연기력 진짜 ,8,22.04.20
1987,이거 왜 이제봤지.... 진짜.... 최고 ,10,22.04.20
엄마와 나,정말 멋진 영화입니다. 더 많은 분들이 관람을 하시고 코로나로 얼어붙은 마음 녹이셨으면 좋겠네요. ,10,22.04.20
앵커,메***에서 강심장시사회라고 다녀왔는데 첨에 좀 겁 먹었었는데 뭐 그렇게 무섭거나 하진 않았음 ,6,22.04.20
모비우스,액션 연출이 꼭 박쥐들이 보는 세상을 연출하며 주파의 흐름 바람의 흐름을 보여주는 액션을 연출하여 모비우스만의 특별한 액션신들로 눈의 즐거움을 선사해준다. 스토리 짜임새는 현실적으로 느낄수있는 (억지스러운 외계등등 현실에도 있을법한 내용을 현실감 있게 표현한 부분) 모비우스의 탄생을 보여주는 흐름이 지루하지않게 시간이 지나갔다 안타까운것은 악당역을 맡은 배우의 연기력은 흠잡을수 없었지만 허무하게 죽어버리는 모습이 안타까웠다 ,10,22.04.20
선생 김봉두,앞으로 살날이 지나온 길보다 짧은 시점에서 다시 보니 개봉 당시 느끼지 못했던 감정들을 깨우네요...웃기면서도 훈훈한 스토리에 자연스런 연기들...도시의 요즘 학생들은 느끼기 어려운 추억들...나이가 좀 들거나 시골에서 학창시절을 보낸  사람들에게는 명작으로 꼽는데 주저함이 없을 것이라는 생각이 듭니다. ,9,22.04.20
야차,완전 재밌는데?? 이거 왜 평점이 이래?? ㅡㅡ 완전 몰입하면서 봤는데 ,10,22.04.20
앵커,몰입도 최고~! 배우님들의 신들린 연기에 소름! 스토리도 짱짱! 너무 재밌게 잘 봤습니다. ,10,22.04.20
언더 씨즈,아늬 진품명품 브금이 언더씨즈 가 원조였음? ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,이걸 146분씩이나 하다니 해리포터 시리즈 중 가장 재미없었음 ㅠㅠ ,1,22.04.20
야차,킬링타임용으로 재밌게 봣음 왜이렇게 평점이 낮지?? ,10,22.04.20
선생 김봉두,,10,22.04.20
세자매,다들 연기파 배우들 아니랄까봐 아.... 오랜만에 찡하게 잘봤습니다 ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,진짜 공부하기 싫은데억지로 시켜서 5등급 성적표 받은느낌이건 진짜 개 역작쓰레기 입니다.해리포터랑은 제발 비교하지마시구요.여러분 인생 낭비하지마세요 이런 쓰레기보면서 ,2,22.04.20
더 배트맨,핵노잼 빵형 우주영화급 지루 졸림 뽀뽀는 맥락없고.. 폭망 화려함 제로 단순 퇴보함 감독 에휴 캐스팅 그지 돈아깝 ,1,22.04.20
드래곤 퀘스트 유어 스토리,뭐 넘어가고 결말이야기만하자면 굳이 너도알고 나도아는 내용을 굳이 초치면서 말하는 듯한 느낌이다 저게 극의 완성도에 기여를 하나 싶은 의문이 든다 그냥 어디 덕후들 생각나서 잘난척을 하는거같은데 그닥 ,6,22.04.20
로스트 시티,방금 보고 나왔는데 진짜 딱 팝콘무비임 배우들 케미도 좋고 브래드 피트도 웃겼음 ㅋㅋㅋ 마지막에 쿠키 하나 있음 ,8,22.04.20
앵커,"오늘 아침에 보고왔습니다. 뭐랄까요. 재미와 긴장감은 있기만 뭔가 살짝 아쉬운느낌..?미스터리이긴 하지만 열린 결말아니고 답있는 결말도 저한테는 좀 아쉬웠네요.영상미와 스토리는 괜찮았습니다. 긴장감도 어느정도 유지하고 있구요.아쉬움,슬픔, 욕심이 스스로에게 장애로 되어가는 모습이 뭔가 주변에 쉽게 볼수있는 사회를 본 것 같습니다. ",7,22.04.20
"안녕, 티라노: 영원히, 함께",,10,22.04.20
신비한 동물들과 덤블도어의 비밀,저는 17일날에 보러 갔는데 일단은 영화 퀄리티는 좋습니다.. 그치만 이번 시리즈는 확실히 덤블도어 라는 마법사 얘기를 담은거는 맞는데.. 스토리가 앞뒤가 뒤죽박죽이고 이번 시리즈에 조니뎁 배우분이 아니고 다른 배우분이 하닌까 몰입감이 좀 별로였어요.. 그치만 재밌게 보고 후기 남깁니다.. ,10,22.04.20
로스트 시티,정글에서 살아남기 영화 버전 나름 볼만합니다빵형 사랑합니다 ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,불면증있으신분들보세요 치료됩니다 ,1,22.04.20
로스트 시티,괜찮은 내용과 재치있는 위트 ,10,22.04.20
태극기 휘날리며,이게 20년전 영화라니 세번 네번 봐도 울듯 ,10,22.04.20
앵커,"요근래나온 한국영화 중에서 제일 재밌게 봄. 초반 설정이 조금 현실성이 빠지긴하는데, 극후반의 요소로 개연성 확보가 되었음. 각종 상징적인 매개체들도 적재적소에 잘 배치하였고, 감독이 정신의학이나 심리학에 신경쓴 부분도 많이 보여서 좋았음. 그리고 다양하게 해석가능한 메시지도 있었고, 사회적 병폐까지 잡아낸 것까지 성공했다고 생각함. 개인적으로 두시간과 돈 만원이 절대 아깝지 않은 영화였다는 소회를 밝힘. 매우 추천 ",10,22.04.20
야차,볼만하네요  재밌음!! ,10,22.04.20
로스트 시티,재밌어요 그냥 킬링 타임용입니당 ,10,22.04.20
나이트메어 앨리,,9,22.04.20
태어나길 잘했어,강진아 배우님 보고 싶어서 보았습니다. 어릴적 아픔을 어루만지는 이야기가 짠하고 따뜻했습니다. 영화는 좀 졸렸습니다. 연출이 좀 루즈했고 강진아 배우님 말고는 연기가 어색했어요. 의미있는 이야기였지만 기술적인 성장도 있으면 좋겠네요... ,6,22.04.20
신비한 동물들과 덤블도어의 비밀,전편보다 재밌었고 특히 전투씬이 인상적이었음. ,8,22.04.20
콘스탄틴,이걸 왜 봄? 쓰레기 영화 ,2,22.04.20
앵커,"진짜 재밌게 봄! 연출, 연기, 내용 모두 좋았음. 근데 좀 공포 강도가 높아서 무서운 영화 잘 못 보시는 분들은 마음 단단히 먹어야 할듯! ",10,22.04.20
앵커,보다가 잠들었습니다 z z Z ,1,22.04.20
앵커,넓은영화관에서 혼자 관람하니 겁나 재밌음@~@ 심장이 콩딱콩딱하네 ,10,22.04.20
해적: 도깨비 깃발,한효주.채수빈같은 악녀들의 노예가 되고 싶당~ ,5,22.04.20
야차,좌파영화도 불편한데목적이 불투명하니까 긴장감도 없고 긴장감이 없으니 몰입도도 떨어지고 넷플릭스로 오징어 지옥 뭐 기타등등 해외에서도 성공을 많이 해서 그런가이걸 해외에서 한국에서 만들었다고 볼꺼 생각하면 너무 창피함 ,1,22.04.20
언니,갈수록 통쾌함보다 보면서 계속 성질나는 영화네..교훈도 없고 피해자들은 당하고 도망만 다녀야되는겨? ,1,22.04.20
신비한 동물들과 덤블도어의 비밀,스토리가 흥미롭지 않고 좀 지루... 해리포터 의리로 봤습니다~ 마법 액션씬은 놀랍고 좋았어요!! 해리포터 세계관 못잃어....4편도 제작해주세요 ,6,22.04.20
